delta,alpha1,alpha2
0.0,-0.01,0.18472028366580326
0.0,-0.008,0.1770611312480463
0.0,-0.006,0.16940194509446477
0.0,-0.004,0.1617427758088884
0.0,-0.002,0.15408357449354085
0.0,0.0,0.14642443723765544
0.0,0.002,0.13876529024770698
0.1,-0.01,0.18473259261862218
0.1,-0.008,0.17706249260141477
0.1,-0.006,0.1693924009932167
0.1,-0.004,0.16172229943971242
0.1,-0.002,0.15405219089291822
0.1,0.0,0.14638208056884655
0.1,0.002,0.1387119565511359
0.2,-0.01,0.1818017127717347
0.2,-0.008,0.1741363035955543
0.2,-0.006,0.16647089293892942
0.2,-0.004,0.1588054997558227
0.2,-0.002,0.15114007838883925
0.2,0.0,0.14347463990087025
0.2,0.002,0.1358091758831513
0.3,-0.01,0.17836882082778424
0.3,-0.008,0.17070702292168477
0.3,-0.006,0.16304522065587734
0.3,-0.004,0.15538341890600962
0.3,-0.002,0.14772161805580808
0.3,0.0,0.1400597379720928
0.3,0.002,0.1323978828734071
0.4,-0.01,0.17413804492018514
0.4,-0.008,0.1664809691317061
0.4,-0.006,0.1588238864311081
0.4,-0.004,0.15116675577287084
0.4,-0.002,0.14350963033856712
0.4,0.0,0.13585245782081906
0.4,0.002,0.12819528173211547
0.5,-0.01,0.16913222862814073
0.5,-0.008,0.16146284125047702
0.5,-0.006,0.15379343432518464
0.5,-0.004,0.1461240115247525
0.5,-0.002,0.13845456491590416
0.5,0.0,0.13078507498319458
0.5,0.002,0.12311557593199995
0.6,-0.01,0.16185230819259383
0.6,-0.008,0.15419041421622096
0.6,-0.006,0.14652850346989232
0.6,-0.004,0.13886659586908173
0.6,-0.002,0.13120461627042668
0.6,0.0,0.12354261535716295
0.6,0.002,0.11588061411462544
0.7,-0.01,0.1513491602274529
0.7,-0.008,0.1437024523630448
0.7,-0.006,0.136055766892367
0.7,-0.004,0.12840902210675453
0.7,-0.002,0.12076227295308997
0.7,0.0,0.11311553501824449
0.7,0.002,0.10546873927774778
0.8,-0.01,0.13410851804290827
0.8,-0.008,0.12653440036805186
0.8,-0.006,0.11896029629646683
0.8,-0.004,0.11138616540797314
0.8,-0.002,0.10381199577930642
0.8,0.0,0.09623782322222388
0.8,0.002,0.08866361861775268
0.9,-0.01,0.10298844645499312
0.9,-0.008,0.09559994664577472
0.9,-0.006,0.08821150851299482
0.9,-0.004,0.08082299572329735
0.9,-0.002,0.0734345000738785
0.9,0.0,0.06604598850471603
0.9,0.002,0.058657429062674585
