alpha1,delta,time,model_stock,model_effort,real_stock,real_effort
-0.005,0.0,1,0.016188702921610166,0.01620443002418964,-0.000604858108439876,-9.268560156718652e-5
-0.005,0.0,2,0.016735614389782986,0.016751642097709987,-0.001825006868885919,-0.003722888986393038
-0.005,0.0,3,0.017284730028602837,0.01730105956290594,-0.003711069385504234,-0.009712280266911351
-0.005,0.0,4,0.0179151179462748,0.017931793990934874,-0.0032373217895330353,0.0009656708145117902
-0.005,0.0,5,0.017915130647163706,0.017931806698805383,-0.0006122117960554714,0.008858172135269037
-0.005,0.0,6,0.01791512805687214,0.01793180410709004,-0.0013413855095177822,-0.0016985432484186603
-0.005,0.0,7,0.017915073698116585,0.017931749718454015,-0.0011579388390547981,0.0002646009479329489
-0.005,0.0,8,0.017915130837598874,0.01793180688934531,-0.0004007741416267765,0.003785284879187656
-0.005,0.0,9,0.017915127048330697,0.017931803097994123,-0.002303681189137967,-0.007625927758318684
-0.005,0.0,10,0.017915131028030724,0.017931807079881762,-0.0005587539913589495,0.0062492828059905895
-0.005,0.0,11,0.017915101904043027,0.01793177793988491,0.0008931412249434403,0.005886080682446792
-0.005,0.0,12,0.017915130551950008,0.01793180660353931,0.003744139893124442,0.014808833039055419
-0.005,0.0,13,0.01791515021939471,0.01793182628179502,0.007668008908974193,0.02116795826780387
-0.005,0.0,14,0.017915124891672324,0.017931800940150223,0.009982341572524906,0.019471811377116004
-0.005,0.0,15,0.017915105187106685,0.017931781224753224,0.011327220787726211,0.01840149627865301
-0.005,0.0,16,0.01836745761054396,0.018384382304326773,0.015256919350337515,0.026884571751505378
-0.005,0.0,17,0.019576583333440683,0.019594172711618073,0.019504194451870245,0.036387715255927974
-0.005,0.0,18,0.025284410290348305,0.025305138086628574,0.026097617251554607,0.04599948419346073
-0.005,0.0,19,0.027284483294638454,0.027306311109634086,0.032224642592904564,0.05436415512454066
-0.005,0.0,20,0.030084397368550574,0.030107765377525113,0.032062117524955865,0.04015622432651138
-0.005,0.0,21,0.03295421411625052,0.032979161117024015,0.036639216279521096,0.04945758684026005
-0.005,0.0,22,0.03780859811030653,0.037836216874238715,0.03998960678093166,0.05769531935054441
-0.005,0.0,23,0.03969665241178912,0.039725310631076684,0.045245935651685186,0.06459730045776037
-0.005,0.0,24,0.04701155072999502,0.04704423786071726,0.050049757453299606,0.07395444440404267
-0.005,0.0,25,0.05790545649775801,0.057944149485666084,0.056186376714863956,0.07019033842802969
-0.005,0.0,26,0.0650640483561032,0.06510669207677226,0.060136975614520895,0.07555623429454736
-0.005,0.0,27,0.06506404494900214,0.06510668866778996,0.06697434851729916,0.09553719961518657
-0.005,0.0,28,0.07130418141365122,0.07135027196844462,0.07508632723918551,0.10347070667938538
-0.005,0.0,29,0.07141190691842916,0.07145805700282501,0.08099857137546036,0.1114691548235635
-0.005,0.0,30,0.13219826767539983,0.1322781845560888,0.08560368829447842,0.11396370432948526
-0.005,0.0,31,0.1321982597174556,0.13227817659369662,0.09160232000012052,0.1290830827750107
-0.005,0.0,32,0.13219822797974948,0.13227814483825068,0.09476341171854136,0.1412570465447185
-0.005,0.0,33,0.13219822798943787,0.1322781448479445,0.09257374936365634,0.1193512261818309
-0.005,0.0,34,0.13219819365343646,0.13227811049275107,0.09234613228613227,0.11299083983141193
-0.005,0.0,35,0.13219822798053396,0.13227814483903563,0.10542935374526408,0.13890670062927293
-0.005,0.0,36,0.13219822799634434,0.13227814485485498,0.10890233067138926,0.13468309326821862
-0.005,0.0,37,0.13219829057122878,0.13227820746471533,0.1167015340563926,0.14072512723881314
-0.005,0.0,38,0.13219822795763442,0.13227814481612332,0.11608606501277281,0.11496396449484836
-0.005,0.0,39,0.13219823867785793,0.1322781555423389,0.11474194579729087,0.12139671427935732
-0.005,0.0,40,0.13219822798607647,0.13227814484458147,0.11184357849553386,0.11278313806108277
-0.005,0.0,41,0.13219826094496565,0.1322781778218927,0.09798787581274909,0.11273582681209773
-0.005,0.0,42,0.13219822798231848,0.13227814484082115,0.08538512456437901,0.10066584975621005
-0.005,0.0,43,0.13219822020647432,0.13227813706063074,0.09643303954386648,0.12505421326364685
-0.005,0.0,44,0.1321982250064846,0.13227814186332384,0.09349495143026437,0.12975129622529083
-0.005,0.0,45,0.13219828858573346,0.13227820547811034,0.1013458612772405,0.13098197798692954
-0.005,0.0,46,0.13219827236827075,0.13227818925158288,0.09578125708398645,0.12273188737133137
-0.005,0.0,47,0.13219825541459174,0.13227817228842761,0.11212100907050654,0.10946933506001344
-0.005,0.0,48,0.13219816239783233,0.13227807921967674,0.11333015677837179,0.12349621869958492
