alpha1,delta,E_s,E_e,s_lr,model_surv,flat_surv,diff_surv
-0.005,0.0,0.038483524060465533,0.03850820707140936,0.14449294636024457,1247.549883448191,1268.7612032889663,21.21131984077522
-0.005,0.05,0.038281222355967405,0.038311741732654794,0.1427398383969434,1242.7298075720335,1262.2881000582558,19.558292486222328
-0.005,0.1,0.03841077406394094,0.038431771303009406,0.1422120617320134,1248.1994138966102,1266.2428118897092,18.04339799309903
-0.005,0.15,0.038726430423631324,0.038748185917518926,0.1421797340894574,1260.2150668906647,1276.667981420424,16.452914529759266
-0.005,0.2,0.03909207257922563,0.039121699572834304,0.14213537589162764,1274.3344731113837,1288.9744394667312,14.639966355347406
-0.005,0.25,0.03948444666957689,0.03952872914523077,0.14202660216835764,1289.8369769195194,1302.3851736795777,12.548196760058309
-0.005,0.3,0.03992625282188178,0.03997040830325693,0.14197242413301753,1306.806656902626,1316.937535958241,10.130879055615097
-0.005,0.35,0.04043792123267341,0.0404794280441465,0.14201377823535102,1326.38350373187,1333.7086231644375,7.325119432567618
-0.005,0.4,0.04099456122698316,0.041037752060271826,0.14208940645355383,1348.1001870735054,1352.1041784083022,4.00399133479686
-0.005,0.45,0.04168048042829664,0.0417283184125712,0.14217093560062696,1374.8628821044965,1374.8568294073343,-0.0060526971624427816
-0.005,0.5,0.04249610555384048,0.042538885469527034,0.14224339803029126,1406.543429464137,1401.5632411761965,-4.980188287940459
-0.005,0.55,0.04343101879797844,0.04350046466922737,0.14211430906570904,1444.5007646761358,1433.2451727760517,-11.255591900084223
-0.005,0.6,0.04457926244971816,0.04464224821472867,0.1421827416207998,1490.151261609655,1470.864443452544,-19.28681815711079
-0.005,0.65,0.046098206441416045,0.04616869828703275,0.14199902459174685,1551.2337123609125,1521.1576348988674,-30.07607746204518
-0.005,0.7,0.04800993881896096,0.04814093316636274,0.14185616981125437,1631.1371917401798,1586.1384607790997,-44.99873096108023
-0.005,0.75,0.05038638365331231,0.050519702939544796,0.14168841860394898,1731.5333749888173,1664.5137222960325,-67.0196526927848
