alpha1,alpha3,E_s,E_e,s_lr,model_surv,flat_surv,diff_surv
-0.005,-0.05,0.02378729634104826,0.023835897110284353,0.08160629558797908,367.22910103081,785.3406792748281,418.111578244018
-0.005,-0.04,0.04893184459328676,0.04905923649535648,0.08154785551189087,1346.1622727276877,1616.3945470860472,270.23227435835946
-0.005,-0.03,0.02825815083226616,0.028322874885380333,0.08148890662731052,556.4994569134271,933.1767836799162,376.677326766489
-0.005,-0.02,0.028234488004721288,0.028299865507857545,0.08142943277631717,559.5841969246926,932.4186750134023,372.8344780887097
-0.005,-0.01,0.04880934943985644,0.048939128514993886,0.08136931502132864,1327.7964455302658,1612.4372518163177,284.6408062860519
-0.005,0.0,0.036116655924973845,0.036207716367670104,0.08130856434527894,856.524866260687,1192.9650659092451,336.44019964855806
-0.005,0.01,0.042862004118567824,0.042974757558088286,0.08124725258981182,1102.5803730101197,1415.9242732163932,313.34390020627364
-0.005,0.02,0.0395646317301298,0.05120129898822598,0.08118531415279281,980.8513077295642,1686.970821409426,706.1195136798618
-0.005,0.03,0.051241097922506036,0.051382287977545384,0.0811228117364501,409.0429571604576,1692.9340127739351,1283.8910556134774
-0.005,0.04,0.05119698204107433,0.04604038150645232,0.08105974230582277,1390.678278566783,1516.9298776150893,126.25159904830622
-0.005,0.05,0.039456628436110495,0.03956103107193935,0.08099605303573906,972.9479005775579,1303.449451518412,330.5015509408539
-0.004,-0.05,0.02378729634104826,0.023835897110284353,0.08008038598135535,367.22910103081,785.3406792748281,418.111578244018
-0.004,-0.04,0.04893184459328676,0.04905923649535648,0.08002176308276762,1346.1622727276877,1616.3945470860472,270.23227435835946
-0.004,-0.03,0.02825815083226616,0.028322874885380333,0.0799626128002078,556.4994569134271,933.1767836799162,376.677326766489
-0.004,-0.02,0.028234488004721288,0.028299865507857545,0.07990285269463264,559.5841969246926,932.4186750134023,372.8344780887097
-0.004,-0.01,0.04880934943985644,0.048939128514993886,0.07984240446445123,1327.7964455302658,1612.4372518163177,284.6408062860519
-0.004,0.0,0.036116655924973845,0.036207716367670104,0.0797813793730168,856.524866260687,1192.9650659092451,336.44019964855806
-0.004,0.01,0.042862004118567824,0.042974757558088286,0.07971968260131057,1102.5803730101197,1415.9242732163932,313.34390020627364
-0.004,0.02,0.0395646317301298,0.05120129898822598,0.07965739193342936,980.8513077295642,1686.970821409426,706.1195136798618
-0.004,0.03,0.051241097922506036,0.051382287977545384,0.07959444975331668,409.0429571604576,1692.9340127739351,1283.8910556134774
-0.004,0.04,0.05119698204107433,0.04604038150645232,0.07953090650009093,1568.8163498162414,1516.9298776150893,-51.88647220115224
-0.004,0.05,0.04855718684410192,0.039884536355963236,0.07946677171806957,570.9101167512339,1314.1082431019133,743.1981263506796
-0.003,-0.05,0.02378729634104826,0.023835897110284353,0.07845513070622066,367.22910103081,785.3406792748281,418.111578244018
-0.003,-0.04,0.04893184459328676,0.04905923649535648,0.07839634570623132,1346.1622727276877,1616.3945470860472,270.23227435835946
-0.003,-0.03,0.02825815083226616,0.028322874885380333,0.0783371070223031,556.4994569134271,933.1767836799162,376.677326766489
-0.003,-0.02,0.028234488004721288,0.028299865507857545,0.07827713680253667,559.5841969246926,932.4186750134023,372.8344780887097
-0.003,-0.01,0.04880934943985644,0.048939128514993886,0.07821652788650775,1327.7964455302658,1612.4372518163177,284.6408062860519
-0.003,0.0,0.036116655924973845,0.036207716367670104,0.07815523215994843,1419.546197800623,1192.9650659092451,-226.5811318913781
-0.003,0.01,0.05137183148010739,0.039784606019066825,0.07809326367644089,1413.4550322828798,1310.8157570547016,-102.63927522817818
-0.003,0.02,0.05132850754902961,0.05146854426200821,0.07803063531704454,1407.5462819182048,1695.775968699417,288.2296867812122
-0.003,0.03,0.05128494598134378,0.05142556381599021,0.07796735793804656,1401.7940002623398,1694.3598570038878,292.5658567415482
-0.003,0.04,0.051241097922506036,0.051382287977545384,0.0779034213009728,1396.1766423030128,1692.9340127739351,296.7573704709221
