alpha1,alpha3,delta,E_s,s_lr,model_surv,flat_surv,diff_surv
-0.005,0.0,0.0,0.04616179364661284,0.13219843765759473,1477.1432598860767,1520.9301420978861,43.7868822118094
-0.005,0.0,0.1,0.04601301563483347,0.13040871380805283,1477.0675988184853,1516.028231996019,38.96063317753381
-0.005,0.0,0.2,0.046536881587964915,0.130438454981588,1498.3211651769825,1533.288469426046,34.9673042490638
-0.005,0.0,0.3,0.04722036683203763,0.13045177584456866,1526.4239538842148,1555.8078133958097,29.383859511595205
-0.005,0.0,0.4,0.04811974696032354,0.1304757685985078,1563.359230356987,1585.440421625587,22.08119126859995
-0.005,0.0,0.5,0.04931272767529312,0.13029426379261244,1613.998207721933,1624.746527064839,10.748319342905885
-0.005,0.0,0.6,0.050970362995941376,0.13022405298385498,1686.675575887582,1679.3619855342479,-7.313590353334227
-0.005,0.0,0.7,0.053689591722181816,0.13015355592823263,1804.570656960504,1768.954624950697,-35.61603200980713
-0.005,0.0,0.8,0.05852869182020133,0.1302550135542024,2029.5969675759777,1928.3923897838827,-101.20457779209508
-0.005,0.0,0.9,0.06811682274796516,0.128796225827033,2533.558378369537,2244.3003340473747,-289.25804432216233
-0.005,0.01,0.0,0.04418092263978264,0.1322368678829374,1411.374227983058,1455.6647747042407,44.29054672118245
-0.005,0.01,0.1,0.044028249853955904,0.13040872789305918,1411.2657957624247,1450.6345403156126,39.368744553188094
-0.005,0.01,0.2,0.04452891658875665,0.13043847040817566,1431.840082335222,1467.1304142396987,35.29033190447689
-0.005,0.01,0.3,0.04518581427589983,0.13045177048766726,1459.190076365961,1488.7737563571843,29.5836799912233
-0.005,0.01,0.4,0.04605210072417066,0.1304757559624825,1495.216406095623,1517.3160002082896,22.09959411266681
-0.005,0.01,0.5,0.04720661212616934,0.13029424947413776,1544.8586308440476,1555.3546259198004,10.495995075752653
-0.005,0.01,0.6,0.04880473059367944,0.1302240559954355,1616.0086660774346,1608.0091342451663,-7.999531832268263
-0.005,0.01,0.7,0.05143828750257736,0.1301535906580808,1731.9500342648673,1694.779074649483,-37.17095961538401
-0.005,0.01,0.8,0.05612920349028218,0.13025503830437443,1954.113836340428,1849.3344971351655,-104.7793392052622
-0.005,0.01,0.9,0.06552067841873517,0.12879631306655362,2457.8017411951014,2158.7630563196035,-299.0386848754976
-0.005,0.02,0.0,0.04210476180399744,0.13227708855985204,1342.4235985395055,1387.2598158509886,44.83621731148327
-0.005,0.02,0.1,0.04194788193683255,0.1304087165405256,1342.2767607547748,1382.0909673334031,39.81420657862838
-0.005,0.02,0.2,0.04242251708018868,0.13043845896191114,1362.0807884238768,1397.72915725201,35.64836882813314
-0.005,0.02,0.3,0.043049357720158145,0.130451772030217,1388.567601198581,1418.3821854016528,29.814584203071657
-0.005,0.02,0.4,0.04387794422839158,0.13047576080813733,1423.5432873274592,1445.682298680512,22.139011353052773
-0.005,0.02,0.5,0.04498800631779783,0.13029429538330625,1472.0054790351546,1482.2564167553635,10.250937720208867
-0.005,0.02,0.6,0.04651732696755194,0.13022405793226496,1541.3468725627683,1532.6441874505435,-8.702685112224492
-0.005,0.02,0.7,0.049050232113328034,0.1301535922734524,1654.8913663551255,1616.0978723913229,-38.79349396380246
-0.005,0.02,0.8,0.05356242581434876,0.13025507255329163,1873.3404883935045,1764.7647864069183,-108.57570198658611
-0.005,0.02,0.9,0.06267792505102716,0.12879646144806764,2374.829697246737,2065.1005501224545,-309.72914712428235
-0.005,0.03,0.0,0.03992641990848402,0.13231923835188455,1270.0557893210278,1315.4882145556808,45.43242523465294
-0.005,0.03,0.1,0.03976483722249691,0.1304087022233174,1269.8631979489226,1310.1644184432441,40.30122049432149
-0.005,0.03,0.2,0.040210225481229316,0.13043847153914087,1288.7945413096122,1324.838987478156,36.044446168543715
-0.005,0.03,0.3,0.04080308194128312,0.1304517619859186,1314.2941099271243,1344.3723112249784,30.078201297854246
-0.005,0.03,0.4,0.04158885649706434,0.13047573752166103,1348.058392942531,1370.2618643027959,22.20347136026476
-0.005,0.03,0.5,0.04264764626355511,0.13029427881496686,1395.130892124794,1405.1466714731678,10.015779348373826
-0.005,0.03,0.6,0.044097664298973716,0.13022404488380795,1462.3412614554643,1452.9215944654752,-9.419666989989016
-0.005,0.03,0.7,0.046512484968852845,0.13015355150585803,1572.9751027494208,1532.4846541831444,-40.490448566276214
-0.005,0.03,0.8,0.05081026016019707,0.13025506320712937,1786.7002560921778,1674.086947250792,-112.61330884138575
-0.005,0.03,0.9,0.05955162377922683,0.12879659194693763,2283.559522366224,1962.0957606214079,-321.46376174481645
-0.005,0.04,0.0,0.03763801070834889,0.13236346947670502,1194.0098874860748,1240.0901362967559,46.080248810680985
-0.005,0.04,0.1,0.037471352433381074,0.13040869138532996,1193.7639930861267,1234.5991106280171,40.8351175418903
-0.005,0.04,0.2,0.03788388045879268,0.13043846050109384,1211.706493023555,1248.1910068422721,36.484513818717275
-0.005,0.04,0.3,0.038438255652771765,0.13045175747925652,1236.0785570622797,1266.4564570327248,30.37789997044494
-0.005,0.04,0.4,0.039175449970412925,0.13047573987624897,1268.4498823033819,1290.7453975116653,22.29551520828336
-0.005,0.04,0.5,0.040175268879410496,0.13029429391133893,1313.8930370565492,1323.6872439003707,9.794206843821499
